id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,basin,region,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_class,waterpoint_type,year_recorded
18532,0.0,2013-02-02,FINW,368.0,FINW,39.43852591,-10.58336646,RUVUMA / SOUTHERN COAST,MTWARA,TANDAHIMBA,300,True,WATER BOARD,True,1982.0,SUBMERSIBLE,USER-GROUP,NEVER PAY,GOOD,DRY,GROUNDWATER,COMMUNAL STANDPIPE,2013
69961,0.0,2013-03-12,0,-27.0,0,39.32230666,-6.85026202,WAMI / RUVU,DAR ES SALAAM,TEMEKE,120,True,SWC,False,2010.0,SUBMERSIBLE,OTHER,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
55083,0.0,2011-03-07,DWE,1674.0,DWE,34.94362033,-9.35251465,RUFIJI,IRINGA,NJOMBE,30,True,VWC,False,2008.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2011
8691,0.0,2013-02-04,TASAF,1087.0,DWE,31.04608844,-5.05419563,LAKE TANGANYIKA,KIGOMA,KIGOMA RURAL,1750,True,VWC,True,2005.0,OTHER,USER-GROUP,UNKNOWN,MILKY,ENOUGH,GROUNDWATER,OTHER,2013
30331,0.0,2013-02-09,UNKNOWN,1441.0,UNKNOWN,34.62104755,-5.16592646,INTERNAL,SINGIDA,SINGIDA RURAL,1,True,VWC,True,1970.0,MOTORPUMP,USER-GROUP,UNKNOWN,UNKNOWN,DRY,GROUNDWATER,COMMUNAL STANDPIPE,2013
70970,0.0,2012-10-07,MWANASHILA,0.0,DWE,33.72235857,-3.04712172,LAKE VICTORIA,SHINYANGA,MASWA,0,True,WUG,False,0.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2012
61136,200.0,2011-02-23,TZ JAPAN,1726.0,DWE,34.92959242,-9.15287185,RUFIJI,IRINGA,NJOMBE,50,True,VWC,False,2008.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
28799,0.0,2013-02-18,GERMANY,986.0,DWE,35.42444315,-10.57968552,RUVUMA / SOUTHERN COAST,RUVUMA,SONGEA RURAL,60,True,VWC,True,2009.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,DRY,SURFACE,COMMUNAL STANDPIPE,2013
46825,0.0,2011-04-10,WATER,0.0,MWE &,35.89487669,-6.14752205,WAMI / RUVU,DODOMA,DODOMA URBAN,0,True,VWC,False,0.0,MOTORPUMP,USER-GROUP,PER BUCKET,SALTY,DRY,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2011
44718,0.0,2013-02-04,DWSP,0.0,DWE,33.039211800000004,-2e-08,LAKE VICTORIA,SHINYANGA,BARIADI,0,True,WUG,False,0.0,HANDPUMP,USER-GROUP,ON FAILURE,SALTY,ENOUGH,GROUNDWATER,HAND PUMP,2013
37350,0.0,2013-02-20,BFFS,1309.0,BFFS,36.29176128,-5.24231281,INTERNAL,MANYARA,KITETO,860,True,VWC,False,2002.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,SEASONAL,SURFACE,COMMUNAL STANDPIPE,2013
65738,5.0,2013-12-03,PRIVATE INDIVIDUAL,1564.0,DMDD,35.6124173,-3.35116762,INTERNAL,ARUSHA,KARATU,200,True,VWC,True,2002.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2013
3271,0.0,2012-10-29,GOVERNMENT OF TANZANIA,0.0,DWE,32.86178245,-3.92819891,INTERNAL,TABORA,NZEGA,0,False,VWC,True,0.0,MOTORPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2012
42658,0.0,2012-11-05,TLC,0.0,TLC,33.12453405,-4.85766882,LAKE TANGANYIKA,TABORA,UYUI,0,True,VWC,True,0.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,SEASONAL,GROUNDWATER,HAND PUMP,2012
67523,20.0,2013-03-13,PRIVATE INDIVIDUAL,1537.0,DMDD,35.66507527,-3.34770932,INTERNAL,ARUSHA,KARATU,300,True,VWC,True,1998.0,GRAVITY,USER-GROUP,PER BUCKET,COLORED,ENOUGH,SURFACE,COMMUNAL STANDPIPE MULTIPLE,2013
37034,500.0,2011-03-27,UNICEF,1489.0,DWE,34.72199105,-8.86253212,RUFIJI,IRINGA,NJOMBE,360,True,WUA,True,1978.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2011
42432,500.0,2011-07-04,UNICEF,1798.0,DWE,34.70534261,-9.1394961,RUFIJI,IRINGA,NJOMBE,45,True,WUA,True,1978.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2011
27420,0.0,2011-03-14,MKINGA DISTRIC COUN,300.0,DWE,38.83713732,-4.77558442,PANGANI,TANGA,MKINGA,200,True,VWC,True,1971.0,GRAVITY,USER-GROUP,NEVER PAY,COLORED,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2011
707,1000.0,2013-02-22,GOVERNMENT OF TANZANIA,1642.0,CENTRAL GOVT,37.65808091,-3.7238624,PANGANI,KILIMANJARO,MWANGA,45,True,WUA,False,1972.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
48489,0.0,2011-02-27,NETHALAN,362.0,DWE,37.47632192,-6.28331307,WAMI / RUVU,MOROGORO,MVOMERO,1,True,VWC,True,1984.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,SURFACE,COMMUNAL STANDPIPE,2011
51008,0.0,2011-03-30,DANIDA,0.0,DANIDA,33.32603356,-8.88128573,LAKE RUKWA,MBEYA,MBEYA RURAL,0,True,VWC,False,0.0,GRAVITY,USER-GROUP,ON FAILURE,GOOD,DRY,SURFACE,COMMUNAL STANDPIPE,2011
72562,50.0,2013-02-06,JAICA,128.0,JAICA,40.04071287,-10.49203103,RUVUMA / SOUTHERN COAST,MTWARA,MTWARA RURAL,400,True,VWC,True,2006.0,SUBMERSIBLE,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2013
10275,0.0,2011-03-19,GOVERNMENT OF TANZANIA,216.0,DWE,38.72134804,-5.17252308,PANGANI,TANGA,MUHEZA,120,True,VWC,False,1983.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,HAND PUMP,2011
53540,0.0,2012-10-12,WORLD BANK,0.0,WORLD BANK,33.14491487,-3.71753771,LAKE VICTORIA,SHINYANGA,SHINYANGA RURAL,0,True,VWC,True,0.0,OTHER,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2012
43291,0.0,2011-08-14,ROTARY CLUB,0.0,ROTARY CLUB,33.33199615,-2.70336413,LAKE VICTORIA,MWANZA,KWIMBA,0,True,VWC,True,0.0,HANDPUMP,USER-GROUP,NEVER PAY,UNKNOWN,DRY,GROUNDWATER,HAND PUMP,2011
8813,0.0,2011-07-28,MINISTRY OF WATER,0.0,DWE,33.13082951,-3.22665421,LAKE VICTORIA,MWANZA,KWIMBA,0,True,VWC,True,0.0,SUBMERSIBLE,USER-GROUP,PER BUCKET,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE MULTIPLE,2011
62343,0.0,2011-04-03,GOVERNMENT OF TANZANIA,0.0,CENTRAL GOVERNMENT,33.62516779,-8.86101931,RUFIJI,MBEYA,MBEYA RURAL,0,True,VWC,True,0.0,GRAVITY,USER-GROUP,ON FAILURE,GOOD,DRY,SURFACE,COMMUNAL STANDPIPE,2011
1649,0.0,2012-10-15,MOROVIAN,0.0,MOROVIAN,32.35815302,-4.96546043,LAKE TANGANYIKA,TABORA,UYUI,0,True,VWC,True,0.0,HANDPUMP,USER-GROUP,ON FAILURE,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2012
8822,50.0,2013-03-04,ISF/GOVERNMENT,1010.0,ISF/GOVERNMENT,37.70648416,-4.00583487,PANGANI,KILIMANJARO,SAME,180,True,WATER AUTHORITY,True,2007.0,SUBMERSIBLE,USER-GROUP,PER BUCKET,SALTY,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
10352,0.0,2011-04-12,RC CHURCH,0.0,RC CHURCH,33.66386327,-8.98179247,RUFIJI,MBEYA,MBEYA RURAL,0,False,VWC,False,0.0,GRAVITY,USER-GROUP,ON FAILURE,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2011
50878,0.0,2012-10-16,GOVERNMENT OF TANZANIA,0.0,GOVERNMENT,33.77857064,-3.06340514,LAKE VICTORIA,SHINYANGA,MASWA,0,True,WATER AUTHORITY,False,0.0,GRAVITY,COMMERCIAL,MONTHLY,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2012
15266,0.0,2011-07-23,UNKNOWN,0.0,UNKNOWN,33.58724528,-9.16743357,LAKE NYASA,MBEYA,RUNGWE,0,True,VWC,True,0.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
51956,0.0,2011-03-18,GOVERNMENT OF TANZANIA,1190.0,DWE,38.4236917,-4.6312447,PANGANI,TANGA,LUSHOTO,1,True,VWC,True,1974.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
44099,1500.0,2013-02-09,DANIDA,642.0,DANIDA,37.12085919,-10.78502855,RUVUMA / SOUTHERN COAST,RUVUMA,TUNDURU,1,True,VWC,False,1992.0,HANDPUMP,USER-GROUP,MONTHLY,GOOD,INSUFFICIENT,GROUNDWATER,HAND PUMP,2013
59,0.0,2012-10-15,DWSSP,0.0,DWE,33.59072198,-3.71955244,INTERNAL,SHINYANGA,KISHAPU,0,True,VWC,True,0.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2012
51359,0.0,2013-01-19,JICA,-5.0,DWE,39.56082776,-9.13206159,RUVUMA / SOUTHERN COAST,LINDI,KILWA,530,True,VWC,False,2002.0,SUBMERSIBLE,USER-GROUP,UNKNOWN,GOOD,UNKNOWN,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2013
15962,0.0,2011-08-01,HESAWA,0.0,HESAWA,33.01194758,-2e-08,LAKE VICTORIA,MWANZA,GEITA,0,True,VWC,True,0.0,OTHER,USER-GROUP,UNKNOWN,UNKNOWN,DRY,GROUNDWATER,OTHER,2011
17853,0.0,2011-08-07,HESAWA,1226.0,DWE,33.06230846,-1.82664599,LAKE VICTORIA,MWANZA,UKEREWE,1200,True,VWC,True,1999.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,IMPROVED SPRING,2011
42040,0.0,2013-03-30,GOVERNMENT OF TANZANIA,1387.0,GOVERNMENT,37.55433946,-3.28942377,PANGANI,KILIMANJARO,MOSHI RURAL,1,True,WUA,True,1970.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
72243,0.0,2013-02-12,DANIDA,805.0,DANIDA,35.99024647,-10.53404797,RUFIJI,RUVUMA,NAMTUMBO,250,True,WUG,False,1990.0,HANDPUMP,USER-GROUP,ON FAILURE,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2013
63653,0.0,2013-03-28,WORLD BANK,1544.0,DWE,36.61868919,-3.29203785,PANGANI,ARUSHA,ARUSHA RURAL,200,True,VWC,True,2004.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
26510,0.0,2012-10-13,WORLD VISION,0.0,WORLD VISION,33.77914543,-3.32682925,INTERNAL,SHINYANGA,MASWA,0,True,WUG,False,0.0,HANDPUMP,USER-GROUP,OTHER,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2012
72053,0.0,2011-08-01,CONCERN,0.0,TWESA,30.50096464,-2.59036242,LAKE VICTORIA,KAGERA,NGARA,0,True,VWC,False,0.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,OTHER,2011
29351,500.0,2012-10-19,PEOPLE OF JAPAN,1369.0,GROBAL RESOURCE ALLIANCE,34.25333419,-1.20066603,LAKE VICTORIA,MARA,TARIME,560,True,VWC,True,2011.0,HANDPUMP,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2012
51897,0.0,2013-01-29,UNKNOWN,1584.0,UNKNOWN,34.85944848,-4.97090922,INTERNAL,SINGIDA,SINGIDA RURAL,1,True,VWC,True,1990.0,OTHER,USER-GROUP,UNKNOWN,UNKNOWN,DRY,GROUNDWATER,OTHER,2013
20376,2400.0,2011-03-04,DANIDA,1609.0,DWE,35.10908924,-8.18809279,RUFIJI,IRINGA,MUFINDI,40,True,VWC,True,2000.0,HANDPUMP,USER-GROUP,ANNUALLY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2011
26804,1000.0,2011-03-23,SOLIDARM,334.0,DWE,36.50348726,-8.55105463,RUFIJI,MOROGORO,ULANGA,230,True,VWC,True,2010.0,HANDPUMP,USER-GROUP,MONTHLY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2011
67303,0.0,2013-03-19,GOVERNMENT OF TANZANIA,1070.0,DWE,36.80143513,-3.45135176,PANGANI,ARUSHA,ARUSHA RURAL,150,True,VWC,True,1988.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,OTHER,2013
69780,0.0,2013-02-18,GOVERNMENT OF TANZANIA,1286.0,DISTRICT COUNCIL,37.62786033,-3.13469202,PANGANI,KILIMANJARO,ROMBO,1,True,COMPANY,True,1962.0,GRAVITY,COMMERCIAL,MONTHLY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
45374,0.0,2013-02-16,DWSP,0.0,DWE,33.01194758,-2e-08,LAKE VICTORIA,MWANZA,MAGU,0,True,WUG,False,0.0,HANDPUMP,USER-GROUP,UNKNOWN,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2013
54665,7.0,2013-03-17,GERMANY REPUBLI,1624.0,CES,37.22900273,-3.18441406,PANGANI,KILIMANJARO,HAI,1,True,WATER BOARD,True,2008.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
39341,500.0,2013-02-11,GOVERNMENT OF TANZANIA,1282.0,GOVERNMENT,30.12795597,-4.24867926,LAKE TANGANYIKA,KIGOMA,KASULU,950,True,WATER AUTHORITY,False,1978.0,SUBMERSIBLE,USER-GROUP,OTHER,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2013
8869,500.0,2013-02-03,DANIDA,462.0,DANIDA,37.45782761,-11.20866259,RUVUMA / SOUTHERN COAST,RUVUMA,TUNDURU,1,True,VWC,False,1986.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2013
20691,0.0,2011-04-08,KKKT,0.0,KKKT,33.16618409,-8.942157,LAKE RUKWA,MBEYA,MBOZI,0,True,VWC,False,0.0,HANDPUMP,USER-GROUP,ON FAILURE,GOOD,INSUFFICIENT,GROUNDWATER,HAND PUMP,2011
19693,0.0,2013-02-19,ADRA,1571.0,ADRA,35.52646919,-4.48085439,INTERNAL,MANYARA,HANANG,221,True,VWC,True,2008.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,DRY,GROUNDWATER,COMMUNAL STANDPIPE,2013
14321,0.0,2011-08-20,RUDEP,1546.0,DWE,31.9968789,-8.80386259,LAKE RUKWA,RUKWA,SUMBAWANGA RURAL,50,True,VWC,False,1985.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2011
63059,0.0,2013-02-08,GOVERNMENT OF TANZANIA,0.0,GOVERNMENT,33.51920554,-3.13524663,LAKE VICTORIA,SHINYANGA,MASWA,0,True,WUG,False,0.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2013
67403,1000.0,2011-03-05,GOVERNMENT OF TANZANIA,-7.0,DWE,39.05964828,-5.28936932,PANGANI,TANGA,MUHEZA,25,True,VWC,False,2009.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE MULTIPLE,2011
28912,7.0,2013-03-21,GERMANY REPUBLI,1133.0,CES,37.22600343,-3.27103862,PANGANI,KILIMANJARO,HAI,125,True,WATER BOARD,True,2008.0,GRAVITY,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2013
12549,0.0,2011-03-10,WORLD BANK,0.0,GOVE,35.56741628,-6.33698054,INTERNAL,DODOMA,BAHI,0,True,VWC,True,0.0,MOTORPUMP,USER-GROUP,PER BUCKET,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
24328,500.0,2013-03-06,GOVERNMENT OF TANZANIA,900.0,CENTRAL GOVT,37.59031748,-3.7304578,PANGANI,KILIMANJARO,MWANGA,80,True,WATER BOARD,True,1972.0,GRAVITY,USER-GROUP,MONTHLY,GOOD,INSUFFICIENT,GROUNDWATER,OTHER,2013
13750,0.0,2012-10-28,WATER AID /SEMA,0.0,WATER AID /SEMA,32.0400396,-4.99156819,LAKE TANGANYIKA,TABORA,URAMBO,0,True,VWC,True,0.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2012
1574,0.0,2011-03-23,GOVERNMENT OF TANZANIA,1237.0,DWE,38.46742948,-4.8647269,PANGANI,TANGA,LUSHOTO,1,True,VWC,True,1969.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
44149,0.0,2011-07-08,HESAWA,0.0,DWE,31.36783688,-1.06107072,LAKE VICTORIA,KAGERA,MISENYI,0,True,VWC,True,0.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,HAND PUMP,2011
53917,0.0,2011-07-10,HESAWA,0.0,DWE,31.12892305,-1.69420356,LAKE VICTORIA,KAGERA,KARAGWE,0,True,WUA,True,0.0,GRAVITY,USER-GROUP,ANNUALLY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
22705,0.0,2013-06-03,GOVERNMENT OF TANZANIA,1388.0,COMMUNITY,36.88065592,-3.31430939,PANGANI,ARUSHA,MERU,98,True,VWC,True,2007.0,GRAVITY,USER-GROUP,UNKNOWN,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
66465,0.0,2012-10-25,RURAL WATER SUPPLY AND SANITAT,0.0,DWE,32.05069828,-3.41259554,LAKE TANGANYIKA,SHINYANGA,BUKOMBE,0,True,PARASTATAL,True,0.0,GRAVITY,PARASTATAL,UNKNOWN,GOOD,SEASONAL,SURFACE,COMMUNAL STANDPIPE,2012
15644,0.0,2011-07-26,TASAF,0.0,DWE,31.83376051,-1.11325712,LAKE VICTORIA,KAGERA,BUKOBA RURAL,0,True,VWC,True,0.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,SURFACE,COMMUNAL STANDPIPE,2011
20773,0.0,2011-03-30,GOVERNMENT OF TANZANIA,0.0,CENTR,35.82452906,-5.30269309,INTERNAL,DODOMA,KONDOA,0,True,VWC,False,0.0,MOTORPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
33092,0.0,2011-03-22,RC,774.0,RC,36.96288481,-7.59517464,RUFIJI,MOROGORO,KILOSA,300,False,OTHER,True,1997.0,GRAVITY,OTHER,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,COMMUNAL STANDPIPE,2011
54392,7500.0,2013-02-15,PROFESSOR BEN OHIO UNIVERSITY,677.0,DISTRICT COUNCIL,37.47908238,-3.81858443,PANGANI,KILIMANJARO,MWANGA,320,True,PRIVATE OPERATOR,False,2012.0,MOTORPUMP,COMMERCIAL,ANNUALLY,UNKNOWN,ENOUGH,SURFACE,COMMUNAL STANDPIPE,2013
37850,50.0,2011-03-20,KIBAHA TOWN COUNCIL,105.0,DWE,38.90647215,-6.74295268,WAMI / RUVU,PWANI,KIBAHA,1,True,WATER AUTHORITY,True,2010.0,MOTORPUMP,USER-GROUP,PER BUCKET,GOOD,ENOUGH,SURFACE,COMMUNAL STANDPIPE MULTIPLE,2011
5576,2000.0,2011-02-14,IDYDC,1764.0,IDYDC,35.77193117,-8.02782346,RUFIJI,IRINGA,KILOLO,1,True,VWC,True,2008.0,HANDPUMP,USER-GROUP,NEVER PAY,GOOD,ENOUGH,GROUNDWATER,HAND PUMP,2011
60840,0.0,2013-02-13,MINISTRY OF WATER,1182.0,DWE,35.87050076,-4.13979616,INTERNAL,MANYARA,BABATI,72,True,VWC,True,1998.0,GRAVITY,USER-GROUP,NEVER PAY,GOOD,INSUFFICIENT,GROUNDWATER,COMMUNAL STANDPIPE,2013
